NAMESPACE            NAME                                                              READY   STATUS      RESTARTS          AGE
ilens-core           pod/visualization-4-celery-spc-58bdb8dc6f-j274p                   1/1     Running     1 (6d16h ago)     18d
ilens-core           pod/digital-twin-engine-6b8898bd84-k84r4                          1/1     Running     10 (6d16h ago)    44d
ilens-core           pod/custom-form-services-57fb5b79f6-g2xkf                         1/1     Running     6 (6d16h ago)     39d
ilens-core           pod/device-control-plane-55f48f5cd5-plfxx                         1/1     Running     16 (6d16h ago)    44d
ilens-core           pod/workflow-management-97d6bd898-vnvwc                           1/1     Running     7 (6d16h ago)     27d
ilens-core           pod/product-management-5f4954cfcf-9hrxw                           1/1     Running     11 (6d16h ago)    44d
ilens-core           pod/dynamic-proxies-5787b5cb6b-cqwt5                              1/1     Running     8 (6d16h ago)     44d
ilens-core           pod/dynamic-proxies-5787b5cb6b-pmlgv                              1/1     Running     7 (6d16h ago)     44d
ilens-core           pod/digital-signature-766d844b44-w2czg                            1/1     Running     6 (6d16h ago)     44d
ilens-core           pod/product-management-5f4954cfcf-r49q8                           1/1     Running     3 (6d16h ago)     27d
ilens-core           pod/data-import-6d46f69d94-z4qv7                                  1/1     Running     3 (6d16h ago)     27d
ilens-core           pod/data-import-6d46f69d94-69jmf                                  1/1     Running     9 (6d16h ago)     39d
ilens-core           pod/ilens-scheduler-67b88db9b5-9kcv8                              1/1     Running     9 (6d16h ago)     44d
ilens-core           pod/product-management-5f4954cfcf-vn28b                           1/1     Running     12 (6d16h ago)    44d
ilens-core           pod/global-catalog-6787b597dd-2gz6r                               1/1     Running     4 (6d16h ago)     28d
ilens-core           pod/ilens-audit-tracker-57cd5f5bcb-2nfsx                          1/1     Running     7 (6d16h ago)     28d
ilens-core           pod/ebpr-periodic-data-engine-celery-577cb8b5fc-qhgrm             1/1     Running     0                 6d16h
ilens-core           pod/ilens-audit-tracker-57cd5f5bcb-8m66f                          1/1     Running     10 (6d16h ago)    39d
ilens-core           pod/plugin-manager-85bcf9868c-dtc9d                               2/2     Running     13 (6d16h ago)    44d
ilens-core           pod/form-management-6b69855c79-ql8vn                              1/1     Running     13 (6d16h ago)    39d
ilens-core           pod/audit-management-5598bc64d8-2rv8v                             1/1     Running     8 (6d16h ago)     28d
ilens-core           pod/user-management-556867b8bd-ghlbj                              1/1     Running     6 (6d16h ago)     44d
ilens-core           pod/audit-management-5598bc64d8-vgpct                             1/1     Running     12 (6d16h ago)    44d
ilens-infra          pod/arango-sngl-oefrdhsi-767334                                   1/1     Running     0                 6d16h
ilens-core           pod/flow-parser-pipeline-builder-8bcdd4c44-rfjxt                  2/2     Running     30 (6d16h ago)    44d
ilens-core           pod/ilens-license-validator-7cdd667668-7qnjb                      1/1     Running     12 (6d16h ago)    44d
ilens-core           pod/form-management-6b69855c79-9bkhr                              1/1     Running     9 (6d16h ago)     28d
ilens-core           pod/ilens-task-tracker-5f5fbcbbbd-9rq87                           1/1     Running     0                 6d16h
ilens-core           pod/rules-alerts-services-5b857b4fd7-b22dt                        1/1     Running     13 (6d16h ago)    28d
ilens-core           pod/visualization-4-6f6c686df-db9tp                               1/1     Running     2 (6d16h ago)     18d
ilens-core           pod/visualization-4-6f6c686df-xtzpd                               1/1     Running     2 (6d16h ago)     18d
ilens-infra          pod/ilens-timeseries1-kairosdb-6667dff9d8-vr7hx                   1/1     Running     6 (6d16h ago)     20d
ilens-core           pod/data-processor-history-data-agent-66b6787b69-ld8mm            1/1     Running     6 (6d16h ago)     18d
ilens-core           pod/data-processor-rule-alarm-agent-56c8ccfb45-5jcjm              1/1     Running     6 (6d16h ago)     18d
ilens-core           pod/data-processor-aggregate-execute-agent-58dd594c4f-zxmvk       1/1     Running     6 (6d16h ago)     18d
ilens-core           pod/data-processor-rule-execute-agent-7bf6fdddc8-ks6zx            1/1     Running     6 (6d16h ago)     18d
ilens-core           pod/data-processor-dep-rule-execute-agent-b796d7ccf-4lxzk         1/1     Running     6 (6d16h ago)     18d
ilens-core           pod/rules-alerts-services-5b857b4fd7-jwp58                        1/1     Running     0                 6d16h
ilens-core           pod/data-processor-kairos-batchwriting-agent-6664b65487-lz752     1/1     Running     23 (6d16h ago)    44d
ilens-core           pod/metadata-services-59f8bc897b-99hs6                            1/1     Running     6 (6d16h ago)     20d
ilens-core           pod/custom-reports-5bbb57cc87-6sqw9                               1/1     Running     0                 6d16h
ilens-core           pod/unifytwin-ftem-documentation-5dbdffc79d-6tbwm                 1/1     Running     0                 6d16h
ilens-core           pod/unifytwin-documentation-ftem-release-notes-5b9f7bd548-66qx7   1/1     Running     0                 6d16h
ilens-core           pod/ft-em-app-z88zv                                               0/1     Completed   0                 6d16h
ilens-core           pod/oee-services-7fffb7444c-vtm7d                                 1/1     Running     0                 6d16h
ilens-core           pod/oee-scheduled-celery-6d6fb699dc-pr2jz                         1/1     Running     0                 6d16h
ilens-core           pod/oee-recalculation-celery-7675f9dfc-4qhj2                      1/1     Running     0                 6d16h
ilens-core           pod/ilens-ui-6bcdd9bd89-rkvdc                                     1/1     Running     0                 6d15h
ilens-core           pod/events-processor-7db5d67cf9-m9qvv                             1/1     Running     0                 6d15h
ilens-core           pod/events-processor-7db5d67cf9-nkdnn                             1/1     Running     0                 6d15h
ilens-core           pod/ft-ppm-app-x2c7b                                              0/1     Error       0                 6d15h
ilens-core           pod/ft-ppm-app-4s45p                                              0/1     Error       0                 6d15h
ilens-core           pod/ft-ppm-app-hfvc9                                              0/1     Error       0                 6d15h
ilens-core           pod/ft-ppm-app-n7tqr                                              0/1     Completed   0                 6d15h
ilens-core           pod/infra-arango-backup-28986480-r8zft                            0/1     Pending     0                 6d15h
ilens-core           pod/infra-kairosdb-incremental-backup-28986480-k6qh8              0/1     Pending     0                 6d15h
ilens-core           pod/infra-mongo-backup-28986480-jd8lm                             0/1     Pending     0                 6d15h
ilens-core           pod/infra-mongo-backup-28986660-snvkh                             0/1     Pending     0                 6d12h
ilens-core           pod/infra-arango-backup-28986660-2rqh9                            0/1     Pending     0                 6d12h
ilens-core           pod/infra-mongo-backup-28986840-47tnx                             0/1     Pending     0                 6d9h
ilens-core           pod/infra-arango-backup-28986840-2zsb2                            0/1     Pending     0                 6d9h
ilens-core           pod/infra-kairosdb-incremental-backup-28986840-r8gj8              0/1     Pending     0                 6d9h
ilens-core           pod/infra-mongo-backup-28987020-gv595                             0/1     Pending     0                 6d6h
ilens-core           pod/infra-arango-backup-28987020-lrbnn                            0/1     Pending     0                 6d6h
ilens-core           pod/infra-kairosdb-incremental-backup-28987200-wf67k              0/1     Pending     0                 6d3h
ilens-core           pod/infra-arango-backup-28987200-xhzkb                            0/1     Pending     0                 6d3h
ilens-core           pod/infra-mongo-backup-28987200-znc48                             0/1     Pending     0                 6d3h
ilens-core           pod/hierarchy-services-5db85c7585-c8fmx                           1/1     Running     7 (6d ago)        27d
ilens-core           pod/infra-mongo-backup-28987380-9kwgp                             0/1     Pending     0                 6d
ilens-core           pod/infra-arango-backup-28987380-cbq77                            0/1     Pending     0                 6d
ilens-core           pod/infra-mongo-backup-28987560-tp24h                             0/1     Pending     0                 5d21h
ilens-core           pod/infra-arango-backup-28987560-466vd                            0/1     Pending     0                 5d21h
ilens-core           pod/infra-kairosdb-incremental-backup-28987560-mrcdr              0/1     Pending     0                 5d21h
ilens-core           pod/infra-arango-backup-28987740-8wphg                            0/1     Pending     0                 5d18h
ilens-core           pod/infra-mongo-backup-28987740-shq27                             0/1     Pending     0                 5d18h
ilens-core           pod/infra-kairosdb-incremental-backup-28987920-gpdq7              0/1     Pending     0                 5d15h
ilens-core           pod/infra-arango-backup-28987920-v98rl                            0/1     Pending     0                 5d15h
ilens-core           pod/infra-mongo-backup-28987920-hpj5x                             0/1     Pending     0                 5d15h
ilens-core           pod/infra-mongo-backup-28988100-nwcxk                             0/1     Pending     0                 5d12h
ilens-core           pod/infra-arango-backup-28988100-s8h72                            0/1     Pending     0                 5d12h
ilens-core           pod/infra-mongo-backup-28988280-7qjfp                             0/1     Pending     0                 5d9h
ilens-core           pod/infra-kairosdb-incremental-backup-28988280-kvl64              0/1     Pending     0                 5d9h
ilens-core           pod/infra-arango-backup-28988280-bnlr2                            0/1     Pending     0                 5d9h
ilens-core           pod/infra-arango-backup-28988460-lwwvv                            0/1     Pending     0                 5d6h
ilens-core           pod/infra-mongo-backup-28988460-qfxt9                             0/1     Pending     0                 5d6h
ilens-core           pod/infra-mongo-backup-28988640-lzc9j                             0/1     Pending     0                 5d3h
ilens-core           pod/infra-arango-backup-28988640-tfvwd                            0/1     Pending     0                 5d3h
ilens-core           pod/infra-kairosdb-incremental-backup-28988640-c44pg              0/1     Pending     0                 5d3h
ilens-core           pod/infra-mongo-backup-28988820-l6xrk                             0/1     Pending     0                 5d
ilens-core           pod/infra-arango-backup-28988820-fql9d                            0/1     Pending     0                 5d
ilens-core           pod/pod-status-core-28988895-lkbkn                                0/1     Completed   0                 4d23h
ilens-core           pod/infra-kairosdb-incremental-backup-28989000-cx8v9              0/1     Pending     0                 4d21h
ilens-core           pod/infra-mongo-backup-28989000-27k7m                             0/1     Pending     0                 4d21h
ilens-core           pod/infra-arango-backup-28989000-clp4m                            0/1     Pending     0                 4d21h
ilens-core           pod/infra-redis-backup-28989000-659nj                             0/1     Completed   0                 4d21h
ilens-core           pod/infra-postgres-backup-28989000-brbh7                          0/1     Completed   0                 4d21h
ilens-core           pod/events-processor-services-67fd565fc7-wcw8j                    1/1     Running     16 (4d20h ago)    6d15h
ilens-core           pod/kafka-lag-alerts-28989090-8szwm                               0/1     Completed   0                 4d19h
ilens-core           pod/pod-status-infra-28989090-z2cvn                               0/1     Completed   0                 4d19h
ilens-core           pod/oee-services-7fffb7444c-sklvr                                 1/1     Running     0                 4d19h
ilens-core           pod/oee-scheduled-celery-6d6fb699dc-52gn4                         1/1     Running     0                 4d19h
ilens-core           pod/pod-status-infra-28989105-b4m59                               0/1     Pending     0                 4d19h
ilens-core           pod/kafka-lag-alerts-28989120-jztkk                               0/1     Pending     0                 4d19h
ilens-core           pod/pod-status-infra-28989120-xhl5n                               0/1     Pending     0                 4d19h
ilens-core           pod/pod-status-infra-28989135-8ht84                               0/1     Pending     0                 4d19h
ilens-core           pod/pod-status-infra-28989150-zcq9f                               0/1     Pending     0                 4d18h
ilens-core           pod/kafka-lag-alerts-28989150-n4sfl                               0/1     Pending     0                 4d18h
ilens-core           pod/pod-status-infra-28989165-hd92m                               0/1     Pending     0                 4d18h
ilens-core           pod/pod-status-infra-28989180-nk5bg                               0/1     Pending     0                 4d18h
ilens-core           pod/kafka-lag-alerts-28989180-5brzg                               0/1     Pending     0                 4d18h
ilens-core           pod/infra-mongo-backup-28989180-x89tp                             0/1     Pending     0                 4d18h
ilens-core           pod/infra-arango-backup-28989180-gmr9l                            0/1     Pending     0                 4d18h
ilens-core           pod/pod-status-infra-28989195-dt5t5                               0/1     Pending     0                 4d18h
ilens-core           pod/pod-status-infra-28989210-bk4lq                               0/1     Pending     0                 4d17h
ilens-core           pod/kafka-lag-alerts-28989210-6p8rs                               0/1     Pending     0                 4d17h
ilens-core           pod/pod-status-infra-28989225-pjkmj                               0/1     Pending     0                 4d17h
ilens-core           pod/kafka-lag-alerts-28989240-wsgqq                               0/1     Pending     0                 4d17h
ilens-core           pod/pod-status-infra-28989240-5vccc                               0/1     Pending     0                 4d17h
ilens-core           pod/pod-status-infra-28989255-dwk4v                               0/1     Pending     0                 4d17h
ilens-core           pod/pod-status-infra-28989270-fllj5                               0/1     Pending     0                 4d16h
ilens-core           pod/kafka-lag-alerts-28989270-r8z7x                               0/1     Pending     0                 4d16h
ilens-core           pod/pod-status-infra-28989285-xzv4b                               0/1     Pending     0                 4d16h
ilens-core           pod/pod-status-infra-28989300-lwwh2                               0/1     Pending     0                 4d16h
ilens-core           pod/kafka-lag-alerts-28989300-rpk5h                               0/1     Pending     0                 4d16h
ilens-core           pod/pod-status-infra-28989315-ncjzm                               0/1     Pending     0                 4d16h
ilens-core           pod/pod-status-infra-28989330-2l9q4                               0/1     Pending     0                 4d15h
ilens-core           pod/kafka-lag-alerts-28989330-7rpkq                               0/1     Pending     0                 4d15h
